年月日,時刻,日経平均株価
2020/1/15,10:25:02,23972.21
2020/1/15,10:30:02,23971.59
2020/1/15,10:35:02,23968.28
2020/1/15,10:40:02,23982.87
2020/1/15,10:45:02,23974
2020/1/15,10:50:02,23963.23
2020/1/15,10:55:02,23955.44
2020/1/15,11:00:02,23956.78
2020/1/15,11:05:13,23944.06
2020/1/15,11:10:04,23941.14
2020/1/15,11:15:04,23951.66
2020/1/15,11:20:02,23933.74
2020/1/15,11:25:02,23923.43
2020/1/15,11:30:02,23920.91
2020/1/15,11:35:02,23914.88
2020/1/15,12:35:02,23910.32
2020/1/15,12:40:02,23922.33
2020/1/15,12:45:02,23925.34
2020/1/15,12:50:02,23918.66
2020/1/15,12:55:02,23914.35
2020/1/15,13:00:02,23913.4
2020/1/15,13:05:02,23905.4
2020/1/15,13:10:02,23906.28
2020/1/15,13:16:06,23902.99
2020/1/15,13:20:59,23894.18
2020/1/15,13:25:02,23895.83
2020/1/15,13:30:06,23884.04
2020/1/15,13:35:04,23885.1
2020/1/15,13:40:04,23892.53
2020/1/15,13:45:02,23893.82
2020/1/15,13:50:02,23887.43
2020/1/15,13:55:02,23891.54
2020/1/15,14:00:02,23904.47
2020/1/15,14:05:05,23886.33
2020/1/15,14:10:05,23890.64
2020/1/15,14:15:04,23896.31
2020/1/15,14:20:05,23893.7
2020/1/15,14:25:05,23895.87
2020/1/15,14:30:02,23892.58
2020/1/15,14:35:04,23904.49
2020/1/15,14:40:02,23907.06
2020/1/15,14:45:02,23910.05
2020/1/15,14:50:05,23902.65
2020/1/15,14:55:04,23905.48
2020/1/15,15:00:04,23910.52
2020/1/15,15:05:02,23916.58
2020/1/16,9:05:06,23943.29
2020/1/16,9:10:03,23919.99
2020/1/16,9:15:02,23946.2
2020/1/16,9:20:03,23967.5
2020/1/16,9:25:02,23952.38
2020/1/16,9:30:02,23943.86
2020/1/16,9:35:02,23950.37
2020/1/16,9:40:02,23953.97
2020/1/16,9:45:02,23947.08
2020/1/16,9:50:04,23949.19
2020/1/16,9:55:02,23936.99
2020/1/16,10:00:02,23925.54
2020/1/16,10:05:02,23926.79
2020/1/16,10:10:03,23925.76
2020/1/16,10:15:02,23920.54
2020/1/16,10:20:04,23928.61
2020/1/16,10:25:02,23937.48
2020/1/16,10:30:02,23920.95
2020/1/16,10:35:02,23911.52
2020/1/16,10:40:02,23909.16
2020/1/16,10:45:02,23928.19
2020/1/16,10:50:03,23921.94
2020/1/16,10:55:02,23920.87
2020/1/16,11:00:02,23930.48
2020/1/16,11:05:02,23935.96
2020/1/16,11:10:02,23936.84
2020/1/16,11:15:02,23947.88
2020/1/16,11:20:02,23948.7
2020/1/16,11:25:02,23957.29
2020/1/16,11:30:02,23958.03
2020/1/16,11:35:02,23950.9
2020/1/16,12:35:02,23934.78
2020/1/16,12:40:02,23930.22
2020/1/16,12:45:03,23929.09
2020/1/16,12:50:02,23924.93
2020/1/16,12:55:03,23924.2
2020/1/16,13:00:04,23924.78
2020/1/16,13:05:03,23928.28
2020/1/16,13:10:03,23922.8
2020/1/16,13:15:02,23932.46
2020/1/16,13:20:02,23931.36
2020/1/16,13:25:02,23932.58
2020/1/16,13:30:02,23937.63
2020/1/16,13:35:02,23934.57
2020/1/16,13:40:02,23928.57
2020/1/16,13:45:02,23924.76
2020/1/16,13:50:02,23922.32
2020/1/16,13:55:02,23923.68
2020/1/16,14:00:02,23916.07
2020/1/16,14:05:02,23916.01
2020/1/16,14:10:02,23922.05
2020/1/16,14:15:03,23922.68
2020/1/16,14:20:04,23924.9
2020/1/16,14:25:02,23917.96
2020/1/16,14:30:02,23919.25
2020/1/16,14:35:03,23921.49
2020/1/16,14:40:03,23939.02
2020/1/16,14:45:04,23936.41
2020/1/16,14:50:03,23947.12
2020/1/16,14:55:02,23952.21
2020/1/16,15:00:02,23943.83
2020/1/16,15:05:02,23933.13
2020/1/17,9:05:02,24110.52
2020/1/17,9:10:02,24073.67
2020/1/17,9:15:02,24071.5
2020/1/17,9:20:02,24075.33
2020/1/17,9:25:02,24057.9
2020/1/17,9:30:02,24058.65
2020/1/17,9:35:02,24070.17
2020/1/17,9:40:02,24068.56
2020/1/17,9:45:02,24065.15
2020/1/17,9:50:02,24057.89
2020/1/17,9:55:02,24050.26
2020/1/17,10:00:02,24060.55
2020/1/17,10:05:02,24050.19
2020/1/17,10:10:02,24053.96
2020/1/17,10:15:02,24063.35
2020/1/17,10:20:02,24065.82
2020/1/17,10:25:02,24049.85
2020/1/17,10:30:02,24048.64
2020/1/17,10:35:02,24045.32
2020/1/17,10:40:02,24015.8
2020/1/17,10:45:02,24034.38
2020/1/17,10:50:02,24034.42
2020/1/17,10:55:02,24034.49
2020/1/17,11:00:02,24040.03
2020/1/17,11:05:02,24053.45
2020/1/17,11:10:02,24064
